Addendum AA -- ASC Covered Surgical Procedures for CY 2021                                                                                                      (Including Surgical Procedures for Which Payment is Packaged),,,,,,
CPT codes and descriptions only are copyright 2020 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2020 American Dental Association.  All Rights Reserved.,,,,,,
,,,,,,
HCPCS Code,,Short Descriptor,Subject to Multiple Procedure Discounting, April 2021 Payment Indicator,April 2021 Payment Weight  ,April 2021 Payment Rate 
53442,,Remove/revise male sling,Y,A2,42.1511,"$2,063.38 "
53444,,Insert tandem cuff,Y,J8,303.9357,"$14,878.26 "
53445,,Insert uro/ves nck sphincter,Y,J8,318.0389,"$15,568.64 "
53446,,Remove uro sphincter,N,A2,42.1511,"$2,063.38 "
53447,,Remove/replace ur sphincter,Y,J8,314.6227,"$15,401.41 "
53449,,Repair uro sphincter,Y,A2,42.1511,"$2,063.38 "
53450,,Revision of urethra,Y,A2,28.4994,"$1,395.10 "
53460,,Revision of urethra,Y,A2,28.4994,"$1,395.10 "
53500,,Urethrlys transvag w/ scope,Y,G2,28.4994,"$1,395.10 "
53502,,Repair of urethra injury,Y,A2,28.4994,"$1,395.10 "
53505,,Repair of urethra injury,Y,A2,42.1511,"$2,063.38 "
53510,,Repair of urethra injury,Y,A2,42.1511,"$2,063.38 "
53515,,Repair of urethra injury,Y,A2,42.1511,"$2,063.38 "
53520,,Repair of urethra defect,Y,A2,42.1511,"$2,063.38 "
53600,,Dilate urethra stricture,Y,P3,,$43.27 
53601,,Dilate urethra stricture,N,N1,,
53605,,Dilate urethra stricture,Y,A2,28.4994,"$1,395.10 "
53620,,Dilate urethra stricture,Y,P3,,$105.38 
53621,,Dilate urethra stricture,Y,P3,,$107.82 
53660,,Dilation of urethra,N,P3,,$49.20 
53661,,Dilation of urethra,N,N1,,
53665,,Dilation of urethra,Y,A2,16.2802,$796.95 
53850,,Prostatic microwave thermotx,Y,P2,28.4994,"$1,395.10 "
53852,,Prostatic rf thermotx,Y,P3,,"$1,336.41 "
53854,,Trurl dstrj prst8 tiss rf wv,Y,P2,16.2802,$796.95 
53855,,Insert prost urethral stent,Y,P3,,$698.91 
53860,,Transurethral rf treatment,Y,P2,16.2802,$796.95 
54000,,Slitting of prepuce,Y,A2,28.4994,"$1,395.10 "
54001,,Slitting of prepuce,Y,A2,16.2802,$796.95 
54015,,Drain penis lesion,Y,A2,12.1379,$594.17 
54050,,Destruction penis lesion(s),N,N1,,
54055,,Destruction penis lesion(s),Y,P3,,$88.63 
54056,,Cryosurgery penis lesion(s),N,N1,,
54057,,Laser surg penis lesion(s),Y,A2,17.7074,$866.81 
54060,,Excision of penis lesion(s),Y,A2,17.7074,$866.81 
54065,,Destruction penis lesion(s),Y,A2,17.7074,$866.81 
54100,,Biopsy of penis,Y,A2,12.1379,$594.17 
54105,,Biopsy of penis,Y,A2,20.3333,$995.36 
54110,,Treatment of penis lesion,Y,A2,28.4994,"$1,395.10 "
54111,,Treat penis lesion graft,Y,A2,42.1511,"$2,063.38 "
54112,,Treat penis lesion graft,Y,A2,82.9009,"$4,058.16 "
54115,,Treatment of penis lesion,Y,A2,20.3333,$995.36 
54120,,Partial removal of penis,Y,A2,28.4994,"$1,395.10 "
54150,,Circumcision w/regionl block,Y,A2,16.2802,$796.95 
54160,,Circumcision neonate,Y,A2,5.9332,$290.44 
54161,,Circum 28 days or older,Y,A2,16.2802,$796.95 
54162,,Lysis penil circumic lesion,Y,A2,16.2802,$796.95 
54163,,Repair of circumcision,Y,A2,16.2802,$796.95 
54164,,Frenulotomy of penis,Y,A2,16.2802,$796.95 
54200,,Treatment of penis lesion,Y,P3,,$73.62 
54205,,Treatment of penis lesion,Y,A2,42.1511,"$2,063.38 "
54220,,Treatment of penis lesion,Y,A2,2.7473,$134.49 
54230,,Prepare penis study,N,N1,,
54231,,Dynamic cavernosometry,Y,P3,,$65.25 
54235,,Penile injection,Y,P3,,$43.97 
54240,,Penis study,N,P3,,$39.43 
54250,,Penis study,Y,P3,,$13.26 
54300,,Revision of penis,Y,A2,28.4994,"$1,395.10 "
54304,,Revision of penis,Y,A2,28.4994,"$1,395.10 "
54308,,Reconstruction of urethra,Y,A2,42.1511,"$2,063.38 "
54312,,Reconstruction of urethra,Y,A2,28.4994,"$1,395.10 "
54316,,Reconstruction of urethra,Y,A2,42.1511,"$2,063.38 "
54318,,Reconstruction of urethra,Y,A2,28.4994,"$1,395.10 "
54322,,Reconstruction of urethra,Y,A2,28.4994,"$1,395.10 "
54324,,Reconstruction of urethra,Y,A2,28.4994,"$1,395.10 "
54326,,Reconstruction of urethra,Y,A2,28.4994,"$1,395.10 "
54328,,Revise penis/urethra,Y,A2,28.4994,"$1,395.10 "
54332,,Revise penis/urethra,Y,G2,28.4994,"$1,395.10 "
54336,,Revise penis/urethra,Y,G2,28.4994,"$1,395.10 "
54340,,Secondary urethral surgery,Y,A2,28.4994,"$1,395.10 "
54344,,Secondary urethral surgery,Y,A2,42.1511,"$2,063.38 "
54348,,Secondary urethral surgery,Y,A2,42.1511,"$2,063.38 "
54352,,Reconstruct urethra/penis,Y,A2,42.1511,"$2,063.38 "
54360,,Penis plastic surgery,Y,A2,28.4994,"$1,395.10 "
54380,,Repair penis,Y,A2,16.2802,$796.95 
54385,,Repair penis,Y,A2,16.2802,$796.95 
54400,,Insert semi-rigid prosthesis,N,J8,195.0423,"$9,547.71 "
54401,,Insert self-contd prosthesis,N,J8,317.6736,"$15,550.76 "
54405,,Insert multi-comp penis pros,N,J8,317.8381,"$15,558.81 "
54406,,Remove muti-comp penis pros,N,A2,28.4994,"$1,395.10 "
54408,,Repair multi-comp penis pros,Y,A2,42.1511,"$2,063.38 "
54410,,Remove/replace penis prosth,N,J8,311.0422,"$15,226.14 "
54411,,Remov/replc penis pros comp,Y,J8,308.2654,"$15,090.21 "
54415,,Remove self-contd penis pros,N,A2,28.4994,"$1,395.10 "
54416,,Remv/repl penis contain pros,N,J8,310.8047,"$15,214.51 "
54417,,Remv/replc penis pros compl,Y,J8,188.6221,"$9,233.43 "
54420,,Revision of penis,Y,A2,28.4994,"$1,395.10 "
54435,,Revision of penis,Y,A2,28.4994,"$1,395.10 "
54437,,Repair corporeal tear,Y,G2,28.4994,"$1,395.10 "
54440,,Repair of penis,Y,A2,28.4994,"$1,395.10 "
54450,,Preputial stretching,Y,A2,2.7473,$134.49 
54500,,Biopsy of testis,Y,A2,20.3333,$995.36 
54505,,Biopsy of testis,Y,A2,28.4994,"$1,395.10 "
54512,,Excise lesion testis,Y,A2,28.4994,"$1,395.10 "
54520,,Removal of testis,Y,A2,28.4994,"$1,395.10 "
54522,,Orchiectomy partial,Y,A2,28.4994,"$1,395.10 "
54530,,Removal of testis,Y,A2,28.7207,"$1,405.94 "
54535,,Extensive testis surgery,Y,G2,28.4994,"$1,395.10 "
54550,,Exploration for testis,Y,A2,28.7207,"$1,405.94 "
54560,,Exploration for testis,Y,G2,16.2802,$796.95 
54600,,Reduce testis torsion,Y,A2,28.4994,"$1,395.10 "
54620,,Suspension of testis,Y,A2,28.4994,"$1,395.10 "
54640,,Orchiopexy ingun/scrot appr,Y,A2,28.7207,"$1,405.94 "
54650,,Orchiopexy (fowler-stephens),Y,G2,28.7207,"$1,405.94 "
54660,,Revision of testis,Y,J8,62.5143,"$3,060.20 "
54670,,Repair testis injury,Y,A2,28.4994,"$1,395.10 "
54680,,Relocation of testis(es),Y,A2,28.4994,"$1,395.10 "
54690,,Laparoscopy orchiectomy,Y,A2,47.1058,"$2,305.92 "
54692,,Laparoscopy orchiopexy,Y,G2,47.1058,"$2,305.92 "
54700,,Drainage of scrotum,Y,A2,16.2802,$796.95 
54800,,Biopsy of epididymis,Y,A2,12.1379,$594.17 
54830,,Remove epididymis lesion,Y,A2,28.4994,"$1,395.10 "
54840,,Remove epididymis lesion,Y,A2,16.2802,$796.95 
54860,,Removal of epididymis,Y,A2,28.4994,"$1,395.10 "
54861,,Removal of epididymis,Y,A2,28.4994,"$1,395.10 "
54865,,Explore epididymis,Y,A2,28.4994,"$1,395.10 "
54900,,Fusion of spermatic ducts,Y,A2,16.2802,$796.95 
54901,,Fusion of spermatic ducts,Y,A2,28.4994,"$1,395.10 "
55000,,Drainage of hydrocele,Y,P3,,$67.34 
55040,,Removal of hydrocele,Y,A2,28.7207,"$1,405.94 "
55041,,Removal of hydroceles,Y,A2,28.7207,"$1,405.94 "
55060,,Repair of hydrocele,Y,A2,28.4994,"$1,395.10 "
55100,,Drainage of scrotum abscess,Y,A2,12.1379,$594.17 
55110,,Explore scrotum,Y,A2,28.4994,"$1,395.10 "
55120,,Removal of scrotum lesion,Y,A2,16.2802,$796.95 
55150,,Removal of scrotum,Y,A2,28.4994,"$1,395.10 "
55175,,Revision of scrotum,Y,A2,28.4994,"$1,395.10 "
55180,,Revision of scrotum,Y,A2,42.1511,"$2,063.38 "
55200,,Incision of sperm duct,Y,A2,28.4994,"$1,395.10 "
55250,,Removal of sperm duct(s),Y,A2,16.2802,$796.95 
55300,,Prepare sperm duct x-ray,N,N1,,
55400,,Repair of sperm duct,Y,A2,28.4994,"$1,395.10 "
55500,,Removal of hydrocele,Y,A2,28.4994,"$1,395.10 "
55520,,Removal of sperm cord lesion,Y,A2,28.4994,"$1,395.10 "
55530,,Revise spermatic cord veins,Y,A2,28.4994,"$1,395.10 "
55535,,Revise spermatic cord veins,Y,A2,28.7207,"$1,405.94 "
55540,,Revise hernia & sperm veins,Y,A2,28.7207,"$1,405.94 "
55550,,Laparo ligate spermatic vein,Y,A2,47.1058,"$2,305.92 "
55600,,Incise sperm duct pouch,Y,R2,16.2802,$796.95 
55680,,Remove sperm pouch lesion,Y,A2,28.4994,"$1,395.10 "
55700,,Biopsy of prostate,Y,A2,16.2802,$796.95 
55705,,Biopsy of prostate,Y,A2,28.4994,"$1,395.10 "
55706,,Prostate saturation sampling,Y,G2,28.4994,"$1,395.10 "
55720,,Drainage of prostate abscess,Y,A2,28.4994,"$1,395.10 "
55725,,Drainage of prostate abscess,Y,A2,28.4994,"$1,395.10 "
55860,,Surgical exposure prostate,Y,G2,42.1511,"$2,063.38 "
55866,,Laparo radical prostatectomy,Y,G2,77.5019,"$3,793.87 "
55870,,Electroejaculation,Y,P3,,$77.81 
55873,,Cryoablate prostate,Y,J8,128.9316,"$6,311.46 "
55874,,Tprnl plmt biodegrdabl matrl,Y,J8,60.1128,"$2,942.64 "
55875,,Transperi needle place pros,N,A2,42.1511,"$2,063.38 "
55876,,Place rt device/marker pros,N,P3,,$86.53 
55880,,Abltj mal prst8 tiss hifu,Y,G2,42.1511,"$2,063.38 "
55920,,Place needles pelvic for rt,Y,G2,38.0691,"$1,863.56 "
55970,,Sex transformation m to f,Y,G2,38.0691,"$1,863.56 "
55980,,Sex transformation f to m,Y,G2,28.4994,"$1,395.10 "
56405,,I & d of vulva/perineum,Y,P3,,$85.14 
56420,,Drainage of gland abscess,Y,P2,1.7582,$86.07 
56440,,Surgery for vulva lesion,Y,A2,26.5182,"$1,298.12 "
56441,,Lysis of labial lesion(s),Y,A2,26.5182,"$1,298.12 "
56442,,Hymenotomy,Y,A2,26.5182,"$1,298.12 "
56501,,Destroy vulva lesions sim,Y,P3,,$125.27 
56515,,Destroy vulva lesion/s compl,Y,A2,17.7074,$866.81 
56605,,Biopsy of vulva/perineum,Y,P3,,$53.39 
56606,,Biopsy of vulva/perineum,N,N1,,
56620,,Partial removal of vulva,Y,A2,26.5182,"$1,298.12 "
56625,,Complete removal of vulva,Y,A2,26.5182,"$1,298.12 "
56700,,Partial removal of hymen,Y,A2,26.5182,"$1,298.12 "
56740,,Remove vagina gland lesion,Y,A2,26.5182,"$1,298.12 "
56800,,Repair of vagina,Y,A2,26.5182,"$1,298.12 "
56805,,Repair clitoris,Y,G2,26.5182,"$1,298.12 "
56810,,Repair of perineum,Y,A2,26.5182,"$1,298.12 "
56820,,Exam of vulva w/scope,Y,P3,,$65.95 
56821,,Exam/biopsy of vulva w/scope,Y,P3,,$86.88 
57000,,Exploration of vagina,Y,A2,26.5182,"$1,298.12 "
57010,,Drainage of pelvic abscess,Y,A2,26.5182,"$1,298.12 "
57020,,Drainage of pelvic fluid,Y,A2,38.0691,"$1,863.56 "
57022,,I & d vaginal hematoma pp,Y,R2,20.3333,$995.36 
57023,,I & d vag hematoma non-ob,Y,A2,20.3333,$995.36 
57061,,Destroy vag lesions simple,Y,P3,,$111.31 
57065,,Destroy vag lesions complex,Y,A2,26.5182,"$1,298.12 "
57100,,Biopsy of vagina,Y,P3,,$55.83 
57105,,Biopsy of vagina,Y,A2,26.5182,"$1,298.12 "
57106,,Remove vagina wall partial,Y,G2,26.5182,"$1,298.12 "
57107,,Remove vagina tissue part,Y,G2,26.5182,"$1,298.12 "
57109,,Vaginectomy partial w/nodes,Y,G2,26.5182,"$1,298.12 "
57120,,Closure of vagina,Y,G2,38.0691,"$1,863.56 "
57130,,Remove vagina lesion,Y,A2,26.5182,"$1,298.12 "
57135,,Remove vagina lesion,Y,A2,26.5182,"$1,298.12 "
57150,,Treat vagina infection,N,N1,,
57155,,Insert uteri tandem/ovoids,Y,A2,38.0691,"$1,863.56 "
57156,,Ins vag brachytx device,Y,G2,2.9057,$142.24 
57160,,Insert pessary/other device,Y,P3,,$38.73 
57170,,Fitting of diaphragm/cap,Y,P3,,$41.17 
57180,,Treat vaginal bleeding,Y,A2,1.7582,$86.07 
57200,,Repair of vagina,Y,A2,26.5182,"$1,298.12 "
57210,,Repair vagina/perineum,Y,A2,26.5182,"$1,298.12 "
57220,,Revision of urethra,Y,A2,38.0691,"$1,863.56 "
57230,,Repair of urethral lesion,Y,A2,26.5182,"$1,298.12 "
57240,,Anterior colporrhaphy,Y,A2,38.0691,"$1,863.56 "
57250,,Repair rectum & vagina,Y,A2,38.0691,"$1,863.56 "
57260,,Cmbn ant pst colprhy,Y,A2,38.0691,"$1,863.56 "
57265,,Cmbn ap colprhy w/ntrcl rpr,Y,A2,38.0691,"$1,863.56 "
57267,,Insert mesh/pelvic flr addon,N,N1,,
57268,,Repair of bowel bulge,Y,A2,38.0691,"$1,863.56 "
57282,,Colpopexy extraperitoneal,Y,G2,56.9278,"$2,786.73 "
57283,,Colpopexy intraperitoneal,Y,G2,56.9278,"$2,786.73 "
57284,,Repair paravag defect open,Y,G2,38.0691,"$1,863.56 "
57285,,Repair paravag defect vag,Y,G2,56.9278,"$2,786.73 "
57287,,Revise/remove sling repair,N,G2,26.5182,"$1,298.12 "
57288,,Repair bladder defect,Y,J8,51.6232,"$2,527.06 "
57289,,Repair bladder & vagina,Y,A2,56.9278,"$2,786.73 "
57291,,Construction of vagina,Y,A2,38.0691,"$1,863.56 "
57292,,Construct vagina with graft,Y,G2,38.0691,"$1,863.56 "
57295,,Revise vag graft via vagina,Y,G2,26.5182,"$1,298.12 "
57300,,Repair rectum-vagina fistula,Y,A2,26.5182,"$1,298.12 "
57310,,Repair urethrovaginal lesion,Y,G2,56.9278,"$2,786.73 "
57320,,Repair bladder-vagina lesion,Y,G2,38.0691,"$1,863.56 "
57330,,Repair bladder-vagina lesion,Y,G2,56.9278,"$2,786.73 "
57335,,Repair vagina,Y,G2,38.0691,"$1,863.56 "
57400,,Dilation of vagina,Y,A2,26.5182,"$1,298.12 "
57410,,Pelvic examination,Y,A2,26.5182,"$1,298.12 "
57415,,Remove vaginal foreign body,Y,A2,26.5182,"$1,298.12 "
57420,,Exam of vagina w/scope,Y,P3,,$68.74 
57421,,Exam/biopsy of vag w/scope,Y,P3,,$91.07 
57423,,Repair paravag defect lap,Y,G2,77.5019,"$3,793.87 "
57425,,Laparoscopy surg colpopexy,Y,G2,77.5019,"$3,793.87 "
57426,,Revise prosth vag graft lap,Y,G2,56.9278,"$2,786.73 "
57452,,Exam of cervix w/scope,Y,P3,,$67.69 
57454,,Bx/curett of cervix w/scope,Y,P3,,$78.51 
57455,,Biopsy of cervix w/scope,Y,P3,,$84.09 
57456,,Endocerv curettage w/scope,Y,P3,,$79.91 
57460,,Bx of cervix w/scope leep,Y,P3,,$216.34 
57461,,Conz of cervix w/scope leep,Y,P3,,$229.60 
57500,,Biopsy of cervix,Y,P3,,$109.91 
57505,,Endocervical curettage,Y,P3,,$102.93 
57510,,Cauterization of cervix,Y,P3,,$90.02 
57511,,Cryocautery of cervix,Y,P3,,$118.64 
57513,,Laser surgery of cervix,Y,A2,26.5182,"$1,298.12 "
57520,,Conization of cervix,Y,A2,26.5182,"$1,298.12 "
57522,,Conization of cervix,Y,A2,26.5182,"$1,298.12 "
57530,,Removal of cervix,Y,A2,38.0691,"$1,863.56 "
57550,,Removal of residual cervix,Y,A2,38.0691,"$1,863.56 "
57555,,Remove cervix/repair vagina,Y,G2,38.0691,"$1,863.56 "
57556,,Remove cervix repair bowel,Y,A2,38.0691,"$1,863.56 "
57558,,D&c of cervical stump,Y,A2,26.5182,"$1,298.12 "
57700,,Revision of cervix,Y,A2,26.5182,"$1,298.12 "
57720,,Revision of cervix,Y,A2,26.5182,"$1,298.12 "
57800,,Dilation of cervical canal,Y,P3,,$46.76 
58100,,Biopsy of uterus lining,Y,P3,,$55.83 
58110,,Bx done w/colposcopy add-on,N,N1,,
58120,,Dilation and curettage,Y,A2,26.5182,"$1,298.12 "
58145,,Myomectomy vag method,Y,A2,26.5182,"$1,298.12 "
58260,,Vaginal hysterectomy,Y,G2,38.0691,"$1,863.56 "
58262,,Vag hyst including t/o,Y,G2,38.0691,"$1,863.56 "
58263,,Vag hyst w/t/o & vag repair,Y,G2,38.0691,"$1,863.56 "
58270,,Vag hyst w/enterocele repair,Y,G2,38.0691,"$1,863.56 "
58290,,Vag hyst complex,Y,G2,56.9278,"$2,786.73 "
58291,,Vag hyst incl t/o complex,Y,G2,38.0691,"$1,863.56 "
58292,,Vag hyst t/o & repair compl,Y,G2,56.9278,"$2,786.73 "
58294,,Vag hyst w/enterocele compl,Y,G2,38.0691,"$1,863.56 "
58301,,Remove intrauterine device,N,P3,,$60.02 
58321,,Artificial insemination,Y,P3,,$46.41 
58322,,Artificial insemination,Y,P3,,$48.85 
58323,,Sperm washing,Y,P3,,$6.28 
58340,,Catheter for hysterography,N,N1,,
58345,,Reopen fallopian tube,Y,R2,26.5182,"$1,298.12 "
58346,,Insert heyman uteri capsule,Y,A2,38.0691,"$1,863.56 "
58350,,Reopen fallopian tube,Y,A2,38.0691,"$1,863.56 "
58353,,Endometr ablate thermal,Y,A2,38.0691,"$1,863.56 "
58356,,Endometrial cryoablation,Y,P3,,"$1,652.19 "
58541,,Lsh uterus 250 g or less,Y,G2,47.1058,"$2,305.92 "
58542,,Lsh w/t/o ut 250 g or less,Y,G2,77.5019,"$3,793.87 "
58543,,Lsh uterus above 250 g,Y,G2,77.5019,"$3,793.87 "
58544,,Lsh w/t/o uterus above 250 g,Y,G2,77.5019,"$3,793.87 "
58545,,Laparoscopic myomectomy,Y,A2,47.1058,"$2,305.92 "
58546,,Laparo-myomectomy complex,Y,A2,77.5019,"$3,793.87 "
58550,,Laparo-asst vag hysterectomy,Y,A2,47.1058,"$2,305.92 "
58552,,Laparo-vag hyst incl t/o,Y,G2,77.5019,"$3,793.87 "
58553,,Laparo-vag hyst complex,Y,G2,77.5019,"$3,793.87 "
58554,,Laparo-vag hyst w/t/o compl,Y,G2,77.5019,"$3,793.87 "
58555,,Hysteroscopy dx sep proc,Y,A2,26.5182,"$1,298.12 "
58558,,Hysteroscopy biopsy,Y,A2,26.5182,"$1,298.12 "
58559,,Hysteroscopy lysis,Y,A2,38.0691,"$1,863.56 "
58560,,Hysteroscopy resect septum,Y,A2,38.0691,"$1,863.56 "
58561,,Hysteroscopy remove myoma,Y,A2,38.0691,"$1,863.56 "
58562,,Hysteroscopy remove fb,Y,A2,26.5182,"$1,298.12 "
58563,,Hysteroscopy ablation,Y,A2,38.0691,"$1,863.56 "
58565,,Hysteroscopy sterilization,Y,A2,38.0691,"$1,863.56 "
58570,,Tlh uterus 250 g or less,Y,G2,77.5019,"$3,793.87 "
58571,,Tlh w/t/o 250 g or less,Y,G2,77.5019,"$3,793.87 "
58572,,Tlh uterus over 250 g,Y,G2,77.5019,"$3,793.87 "
58573,,Tlh w/t/o uterus over 250 g,Y,G2,77.5019,"$3,793.87 "
58600,,Division of fallopian tube,Y,G2,26.5182,"$1,298.12 "
58615,,Occlude fallopian tube(s),Y,G2,26.5182,"$1,298.12 "
58660,,Laparoscopy lysis,Y,A2,47.1058,"$2,305.92 "
58661,,Laparoscopy remove adnexa,Y,A2,47.1058,"$2,305.92 "
58662,,Laparoscopy excise lesions,Y,A2,47.1058,"$2,305.92 "
58670,,Laparoscopy tubal cautery,Y,A2,47.1058,"$2,305.92 "
58671,,Laparoscopy tubal block,Y,A2,47.1058,"$2,305.92 "
58672,,Laparoscopy fimbrioplasty,Y,A2,47.1058,"$2,305.92 "
58673,,Laparoscopy salpingostomy,Y,A2,47.1058,"$2,305.92 "
58674,,Laps abltj uterine fibroids,Y,G2,77.5019,"$3,793.87 "
58770,,Create new tubal opening,Y,G2,26.5182,"$1,298.12 "
58800,,Drainage of ovarian cyst(s),Y,A2,26.5182,"$1,298.12 "
58805,,Drainage of ovarian cyst(s),Y,G2,26.5182,"$1,298.12 "
58820,,Drain ovary abscess open,Y,A2,26.5182,"$1,298.12 "
58900,,Biopsy of ovary(s),Y,A2,26.5182,"$1,298.12 "
58920,,Partial removal of ovary(s),Y,G2,56.9278,"$2,786.73 "
58925,,Removal of ovarian cyst(s),Y,G2,38.0691,"$1,863.56 "
58970,,Retrieval of oocyte,Y,A2,6.5385,$320.07 
58974,,Transfer of embryo,Y,A2,6.5385,$320.07 
58976,,Transfer of embryo,Y,A2,2.9057,$142.24 
59000,,Amniocentesis diagnostic,Y,P3,,$64.55 
59001,,Amniocentesis therapeutic,Y,R2,2.9057,$142.24 
59012,,Fetal cord puncture prenatal,Y,G2,2.9057,$142.24 
59015,,Chorion biopsy,Y,P3,,$62.11 
59020,,Fetal contract stress test,Y,P3,,$34.20 
59025,,Fetal non-stress test,Y,P3,,$19.54 
59030,,Fetal scalp blood sample,Y,G2,2.9057,$142.24 
59070,,Transabdom amnioinfus w/us,Y,G2,2.9057,$142.24 
59072,,Umbilical cord occlud w/us,Y,J8,4.0617,$198.83 
59074,,Fetal fluid drainage w/us,Y,G2,2.9057,$142.24 
59076,,Fetal shunt placement w/us,Y,G2,2.9057,$142.24 
59100,,Remove uterus lesion,Y,R2,38.0691,"$1,863.56 "
59150,,Treat ectopic pregnancy,Y,G2,47.1058,"$2,305.92 "
59151,,Treat ectopic pregnancy,Y,G2,47.1058,"$2,305.92 "
59160,,D & c after delivery,Y,A2,26.5182,"$1,298.12 "
59200,,Insert cervical dilator,Y,P3,,$68.74 
59300,,Episiotomy or vaginal repair,Y,P3,,$126.66 
59320,,Revision of cervix,Y,A2,26.5182,"$1,298.12 "
59409,,Obstetrical care,Y,G2,26.5182,"$1,298.12 "
59412,,Antepartum manipulation,Y,G2,26.5182,"$1,298.12 "
59414,,Deliver placenta,Y,G2,26.5182,"$1,298.12 "
59612,,Vbac delivery only,Y,G2,26.5182,"$1,298.12 "
59812,,Treatment of miscarriage,Y,A2,26.5182,"$1,298.12 "
59820,,Care of miscarriage,Y,A2,26.5182,"$1,298.12 "
59821,,Treatment of miscarriage,Y,A2,26.5182,"$1,298.12 "
59840,,Abortion,Y,A2,26.5182,"$1,298.12 "
59841,,Abortion,Y,A2,26.5182,"$1,298.12 "
59866,,Abortion (mpr),Y,G2,2.9057,$142.24 
59870,,Evacuate mole of uterus,Y,A2,26.5182,"$1,298.12 "
59871,,Remove cerclage suture,N,A2,26.5182,"$1,298.12 "
60000,,Drain thyroid/tongue cyst,Y,A2,10.4992,$513.96 
60100,,Biopsy of thyroid,Y,P3,,$53.74 
60200,,Remove thyroid lesion,Y,A2,47.1058,"$2,305.92 "
60210,,Partial thyroid excision,Y,G2,47.1058,"$2,305.92 "
60212,,Partial thyroid excision,Y,G2,47.1058,"$2,305.92 "
60220,,Partial removal of thyroid,Y,G2,47.1058,"$2,305.92 "
60225,,Partial removal of thyroid,Y,G2,47.1058,"$2,305.92 "
60240,,Removal of thyroid,Y,G2,47.1058,"$2,305.92 "
60252,,Removal of thyroid,Y,G2,48.7588,"$2,386.84 "
60260,,Repeat thyroid surgery,Y,G2,48.7588,"$2,386.84 "
60271,,Removal of thyroid,Y,G2,48.7588,"$2,386.84 "
60280,,Remove thyroid duct lesion,Y,A2,47.1058,"$2,305.92 "
60281,,Remove thyroid duct lesion,Y,A2,47.1058,"$2,305.92 "
60300,,Aspir/inj thyroid cyst,Y,P3,,$77.81 
60500,,Explore parathyroid glands,Y,G2,48.7588,"$2,386.84 "
60502,,Re-explore parathyroids,Y,G2,48.7588,"$2,386.84 "
60512,,Autotransplant parathyroid,N,N1,,
60520,,Removal of thymus gland,Y,G2,48.7588,"$2,386.84 "
61000,,Remove cranial cavity fluid,Y,R2,6.5508,$320.67 
61001,,Remove cranial cavity fluid,Y,R2,6.5508,$320.67 
61020,,Remove brain cavity fluid,Y,A2,8.4901,$415.61 
61026,,Injection into brain canal,Y,A2,6.5508,$320.67 
61050,,Remove brain canal fluid,Y,A2,2.696,$131.97 
61055,,Injection into brain canal,Y,A2,2.696,$131.97 
61070,,Brain canal shunt procedure,Y,A2,6.5508,$320.67 
61215,,Insert brain-fluid device,Y,A2,49.7725,"$2,436.46 "
61330,,Decompress eye socket,Y,G2,22.1104,"$1,082.35 "
61623,,Endovasc tempory vessel occl,Y,J8,120.1571,"$5,881.93 "
61626,,Transcath occlusion non-cns,Y,J8,131.0788,"$6,416.57 "
61720,,Incise skull/brain surgery,Y,G2,49.7725,"$2,436.46 "
61770,,Incise skull for treatment,Y,G2,49.7725,"$2,436.46 "
61781,,Scan proc cranial intra,N,N1,,
61782,,Scan proc cranial extra,N,N1,,
61783,,Scan proc spinal,N,N1,,
61790,,Treat trigeminal nerve,Y,A2,16.439,$804.72 
61791,,Treat trigeminal tract,Y,A2,16.439,$804.72 
61880,,Revise/remove neuroelectrode,N,G2,37.4106,"$1,831.32 "
61885,,Insrt/redo neurostim 1 array,N,J8,371.508,"$18,186.06 "
61886,,Implant neurostim arrays,N,J8,490.459,"$24,008.95 "
61888,,Revise/remove neuroreceiver,N,J8,204.6327,"$10,017.18 "
62000,,Treat skull fracture,Y,G2,22.1104,"$1,082.35 "
62160,,Neuroendoscopy add-on,N,N1,,
62194,,Replace/irrigate catheter,Y,A2,16.439,$804.72 
62225,,Replace/irrigate catheter,Y,A2,49.7725,"$2,436.46 "
62230,,Replace/revise brain shunt,Y,A2,49.7725,"$2,436.46 "
62252,,Csf shunt reprogram,N,P3,,$36.64 
62263,,Epidural lysis mult sessions,Y,A2,8.4901,$415.61 
62264,,Epidural lysis on single day,Y,A2,8.4901,$415.61 
62267,,Interdiscal perq aspir dx,Y,G2,6.4205,$314.30 
62268,,Drain spinal cord cyst,Y,A2,8.4901,$415.61 
62269,,Needle biopsy spinal cord,Y,A2,12.1379,$594.17 
62270,,Dx lmbr spi pnxr,Y,A2,6.5508,$320.67 
62272,,Ther spi pnxr drg csf,Y,A2,6.5508,$320.67 
62273,,Inject epidural patch,Y,A2,6.5508,$320.67 
62280,,Treat spinal cord lesion,Y,A2,8.4901,$415.61 
62281,,Treat spinal cord lesion,Y,A2,8.4901,$415.61 
62282,,Treat spinal canal lesion,Y,A2,8.4901,$415.61 
62284,,Injection for myelogram,N,N1,,
62287,,Percutaneous diskectomy,Y,A2,16.439,$804.72 
62290,,Njx px discography lumbar,N,N1,,
62291,,Njx px discography crv/thrc,N,N1,,
62292,,Njx chemonucleolysis lmbr,Y,R2,16.439,$804.72 
